,Country,GDP_USD_billions
0,United States,28781.08
1,China,18532.63
2,Germany,4591.1
3,Japan,4110.45
4,India,3937.01
5,United Kingdom,3495.26
6,France,3130.01
7,Brazil,2331.39
8,Italy,2328.03
9,Canada,2242.18
10,Russia,2056.84
11,Mexico,2017.02
12,Australia,1790.35
13,South Korea,1760.95
14,Spain,1647.11
15,Indonesia,1475.69
16,Netherlands,1142.51
17,Turkey,1113.56
18,Saudi Arabia,1106.02
19,Switzerland,938.46
20,Poland,844.62
21,Taiwan,802.96
22,Belgium,655.19
23,Sweden,623.05
24,Argentina,604.26
25,Ireland,564.02
26,Thailand,548.89
27,Austria,540.89
28,Israel,530.66
29,United Arab Emirates,527.8
30,Norway,526.95
31,Singapore,525.23
32,Philippines,471.52
33,Vietnam,465.81
34,Iran,464.18
35,Bangladesh,455.16
36,Malaysia,445.52
37,Denmark,409.99
38,Hong Kong,406.78
39,Colombia,386.08
40,South Africa,373.23
41,Romania,369.97
42,Egypt,347.59
43,Pakistan,338.24
44,Chile,333.76
45,Czech Republic,325.88
46,Finland,308.06
47,Portugal,298.95
48,Kazakhstan,296.74
49,Peru,282.46
50,Algeria,266.78
51,Iraq,265.89
52,New Zealand,257.62
53,Nigeria,252.74
54,Greece,250.28
55,Qatar,244.69
56,Hungary,223.41
57,Ethiopia,205.13
58,Ukraine,188.94
59,Kuwait,160.4
60,Morocco,152.38
61,Slovakia,140.81
62,Dominican Republic,127.36
63,Ecuador,121.59
64,Puerto Rico,117.76
65,Guatemala,110.04
66,Oman,108.93
67,Bulgaria,107.93
68,Kenya,104.0
69,Venezuela,102.33
70,Uzbekistan,97.96
71,Costa Rica,96.06
72,Angola,92.12
73,Luxembourg,88.56
74,Croatia,88.08
75,Panama,87.35
76,Ivory Coast,86.91
77,Uruguay,82.6
78,Turkmenistan,81.9
79,Serbia,81.87
80,Lithuania,81.17
81,Tanzania,79.6
82,Azerbaijan,78.75
83,Ghana,75.24
84,Sri Lanka,74.85
85,DR Congo,73.76
86,Slovenia,72.1
87,Belarus,69.05
88,Myanmar,68.01
89,Uganda,56.31
90,Tunisia,54.71
91,Macau,54.68
92,Jordan,53.57
93,Cameroon,53.2
94,Bolivia,49.33
95,Libya,48.22
96,Bahrain,46.79
97,Paraguay,45.82
98,Latvia,45.47
99,Cambodia,45.15
100,Nepal,44.18
101,Estonia,43.49
102,Honduras,37.35
103,Senegal,35.45
104,El Salvador,35.33
105,Zimbabwe,34.4
106,Cyprus,34.22
107,Iceland,33.34
108,Georgia,32.86
109,Papua New Guinea,31.72
110,Zambia,29.87
111,Bosnia and Herzegovina,29.08
112,Trinidad and Tobago,28.36
113,Sudan,26.86
114,Guinea,25.45
115,Albania,25.43
116,Armenia,25.41
117,Haiti,24.05
118,Mozambique,22.98
119,Malta,22.74
120,Mongolia,21.94
121,Burkina Faso,21.9
122,Lebanon,21.78
123,Mali,21.66
124,Botswana,21.42
125,Benin,21.37
126,Guyana,21.18
127,Gabon,21.01
128,Jamaica,20.1
129,Nicaragua,18.83
130,Niger,18.82
131,Chad,18.7
132,Palestine,18.6
133,Moldova,18.36
134,Yemen,16.94
135,Madagascar,16.46
136,Mauritius,16.36
137,North Macedonia,15.87
138,Brunei,15.51
139,Congo,15.5
140,Laos,15.19
141,Afghanistan,14.47
142,Bahamas,14.39
143,Rwanda,13.7
144,Kyrgyzstan,13.6
145,Tajikistan,12.95
146,Somalia,12.8
147,Namibia,12.76
148,Kosovo,11.32
149,Malawi,11.24
150,Equatorial Guinea,10.71
151,Mauritania,10.63
152,Togo,9.83
153,Montenegro,8.01
154,Maldives,7.2
155,Barbados,6.86
156,South Sudan,6.52
157,Fiji,5.8
158,Eswatini,5.08
159,Liberia,4.75
160,Sierra Leone,4.56
161,Djibouti,4.36
162,Suriname,4.34
163,Aruba,4.07
164,Andorra,3.9
165,Belize,3.3
166,Bhutan,3.11
167,Burundi,3.08
168,Central African Republic,2.81
169,Cape Verde,2.72
170,Gambia,2.69
171,Saint Lucia,2.58
172,Lesotho,2.4
173,Seychelles,2.2
174,Guinea-Bissau,2.15
175,Antigua and Barbuda,2.13
176,San Marino,2.03
177,East Timor,1.99
178,Solomon Islands,1.71
179,Comoros,1.42
180,Grenada,1.41
181,Vanuatu,1.29
182,Saint Kitts and Nevis,1.13
183,Saint Vincent and the Grenadines,1.13
184,Samoa,1.02
185,São Tomé and Príncipe,0.75
186,Dominica,0.71
187,Tonga,0.58
188,Micronesia,0.48
189,Kiribati,0.31
190,Palau,0.31
191,Marshall Islands,0.3
192,Nauru,0.16
193,Tuvalu,0.07
